timestamp,soilPercent,waterPercent,temp,hum,pumpOn,timeSynced
2025-10-04 04:00:00,39.8,25.7,20.4,42.8,0,1
2025-10-04 05:00:00,1.0,7.1,16.1,63.4,0,1
2025-10-04 06:00:00,37.4,25.9,23.8,49.0,0,1
2025-10-04 07:00:00,46.9,23.8,24.2,44.8,0,1
2025-10-04 08:00:00,47.8,23.4,22.5,52.8,0,1
2025-10-04 09:00:00,41.4,53.7,16.0,37.6,0,1
2025-10-04 10:00:00,37.8,33.6,18.8,56.5,0,1
2025-10-04 11:00:00,37.6,61.2,27.0,44.3,0,1
2025-10-04 12:00:00,38.4,8.2,23.4,81.1,0,1
2025-10-04 13:00:00,41.9,12.0,25.4,47.8,0,1
2025-10-04 14:00:00,33.6,46.9,25.2,61.5,0,1
2025-10-04 15:00:00,49.3,0.0,20.5,57.3,0,1
2025-10-04 16:00:00,29.9,22.2,27.1,56.5,0,1
2025-10-04 17:00:00,47.4,9.2,21.9,35.9,0,1
2025-10-04 18:00:00,26.1,28.8,18.1,57.1,0,1
2025-10-04 19:00:00,30.0,39.3,19.9,55.0,0,1
2025-10-04 20:00:00,57.6,37.8,21.5,40.4,0,1
2025-10-04 21:00:00,27.1,31.2,20.5,50.9,0,1
2025-10-04 22:00:00,42.2,12.9,20.4,39.3,0,1
2025-10-04 23:00:00,39.5,44.6,27.0,62.4,0,1
2025-10-05 00:00:00,38.3,22.6,22.1,54.0,0,1
2025-10-05 01:00:00,44.8,27.4,20.6,59.6,0,1
2025-10-05 02:00:00,52.5,43.4,19.8,52.7,0,1
2025-10-05 03:00:00,36.3,25.7,24.4,58.2,0,1
2025-10-05 04:00:00,23.9,81.6,24.9,57.0,0,1
ms:1762220056401,46.7,77.3,20.4,75.5,0,0
2025-10-05 06:00:00,41.5,26.3,21.1,54.6,0,1
2025-10-05 07:00:00,25.6,11.7,29.3,42.8,0,1
2025-10-05 08:00:00,30.3,3.6,21.4,34.5,0,1
2025-10-05 09:00:00,58.5,19.1,26.2,45.1,0,1
2025-10-05 10:00:00,41.3,2.0,18.8,66.8,0,1
2025-10-05 11:00:00,40.1,54.4,27.0,62.0,0,1
2025-10-05 12:00:00,44.7,41.5,14.4,58.7,0,1
2025-10-05 13:00:00,33.8,5.9,24.8,57.0,0,1
2025-10-05 14:00:00,27.1,34.7,20.7,36.2,0,1
ms:1762256056401,41.8,27.5,19.0,66.6,0,0
2025-10-05 16:00:00,19.3,41.7,24.7,65.9,0,1
2025-10-05 17:00:00,50.5,23.3,26.6,34.4,0,1
2025-10-05 18:00:00,36.0,0.0,22.0,73.2,0,1
2025-10-05 19:00:00,18.2,51.9,21.0,59.8,0,1
2025-10-05 20:00:00,46.0,36.7,26.8,65.1,0,1
2025-10-05 21:00:00,49.0,21.6,23.7,69.7,0,1
2025-10-05 22:00:00,41.0,36.2,22.0,56.7,0,1
2025-10-05 23:00:00,56.9,15.4,21.7,79.2,0,1
2025-10-06 00:00:00,20.4,50.6,22.1,47.9,0,1
2025-10-06 01:00:00,41.8,50.9,22.6,64.5,0,1
2025-10-06 02:00:00,45.3,38.5,22.9,71.9,0,1
2025-10-06 03:00:00,30.9,14.7,23.6,64.5,0,1
2025-10-06 04:00:00,28.9,32.1,16.8,66.5,0,1
2025-10-06 05:00:00,44.5,44.1,23.4,58.7,0,1
2025-10-06 06:00:00,59.9,23.3,18.0,54.6,0,1
2025-10-06 07:00:00,56.9,11.9,22.5,54.1,0,1
2025-10-06 08:00:00,33.0,34.7,24.2,46.6,0,1
2025-10-06 09:00:00,39.9,29.9,22.8,45.9,0,1
2025-10-06 10:00:00,62.8,28.0,25.1,63.6,0,1
2025-10-06 11:00:00,25.9,3.4,23.9,44.4,0,1
2025-10-06 12:00:00,46.6,30.6,20.4,52.8,0,1
2025-10-06 13:00:00,42.8,20.7,25.6,61.1,0,1
2025-10-06 14:00:00,48.5,52.3,17.4,68.5,0,1
2025-10-06 15:00:00,21.7,53.3,16.3,50.5,0,1
2025-10-06 16:00:00,31.1,40.6,20.8,67.9,0,1
2025-10-06 17:00:00,52.8,45.3,19.9,56.5,0,1
2025-10-06 18:00:00,34.5,39.3,24.1,30.9,0,1
ms:1762356856401,48.8,7.1,20.6,45.4,0,0
2025-10-06 20:00:00,20.6,33.5,23.9,58.0,0,1
2025-10-06 21:00:00,54.9,29.1,25.5,87.6,0,1
2025-10-06 22:00:00,42.6,55.5,21.6,56.6,0,1
2025-10-06 23:00:00,38.0,50.4,20.2,42.2,0,1
2025-10-07 00:00:00,63.3,38.6,22.1,59.3,0,1
2025-10-07 01:00:00,33.0,0.0,25.3,65.3,0,1
2025-10-07 02:00:00,33.3,30.7,23.5,44.1,0,1
2025-10-07 03:00:00,43.7,32.9,22.6,47.3,0,1
2025-10-07 04:00:00,24.4,36.8,22.4,57.0,0,1
2025-10-07 05:00:00,32.6,15.1,22.5,56.1,0,1
2025-10-07 06:00:00,39.1,24.0,23.9,80.6,0,1
2025-10-07 07:00:00,36.6,5.5,27.9,36.4,0,1
2025-10-07 08:00:00,51.1,33.5,21.0,56.6,0,1
2025-10-07 09:00:00,27.3,32.9,24.2,50.6,0,1
2025-10-07 10:00:00,32.9,19.9,23.1,63.3,0,1
2025-10-07 11:00:00,40.1,66.3,19.7,60.2,0,1
2025-10-07 12:00:00,44.2,23.4,27.7,52.0,0,1
2025-10-07 13:00:00,56.5,20.4,19.1,64.9,0,1
2025-10-07 14:00:00,62.0,59.3,19.5,37.7,0,1
2025-10-07 15:00:00,31.3,43.5,24.4,74.5,0,1
2025-10-07 16:00:00,51.4,29.1,22.7,74.1,0,1
2025-10-07 17:00:00,41.1,14.9,22.0,73.7,0,1
2025-10-07 18:00:00,35.5,32.5,19.5,76.3,0,1
2025-10-07 19:00:00,34.4,50.6,24.5,27.0,0,1
2025-10-07 20:00:00,39.8,41.0,24.2,73.7,0,1
2025-10-07 21:00:00,49.3,43.8,22.0,62.3,0,1
2025-10-07 22:00:00,39.7,31.6,22.2,74.8,0,1
2025-10-07 23:00:00,31.1,34.4,20.0,50.6,0,1
ms:1762461256401,22.1,61.0,18.6,56.1,1,0
2025-10-08 01:00:00,40.0,50.2,22.2,70.2,0,1
2025-10-08 02:00:00,41.4,49.3,26.5,52.7,0,1
2025-10-08 03:00:00,51.3,48.3,23.5,55.6,0,1
2025-10-08 04:00:00,50.6,15.9,18.7,50.6,0,1
2025-10-08 05:00:00,52.1,37.2,15.8,65.6,0,1
2025-10-08 06:00:00,36.1,16.0,21.4,53.1,0,1
2025-10-08 07:00:00,43.0,25.0,21.4,44.0,0,1
2025-10-08 08:00:00,39.8,26.5,21.9,48.2,0,1
2025-10-08 09:00:00,33.0,16.4,24.3,36.6,0,1
ms:1762497256401,29.0,50.4,24.0,57.1,0,0
2025-10-08 11:00:00,37.5,34.8,22.7,76.9,0,1
2025-10-08 12:00:00,38.2,62.9,24.6,55.0,0,1
2025-10-08 13:00:00,61.0,28.9,22.4,63.6,0,1
2025-10-08 14:00:00,57.6,34.7,26.0,46.5,0,1
ms:1762515256401,46.1,27.8,19.5,55.9,0,0
2025-10-08 16:00:00,30.2,35.5,21.2,41.1,0,1
2025-10-08 17:00:00,32.9,12.5,21.8,60.9,0,1
2025-10-08 18:00:00,49.4,20.4,18.0,67.3,0,1
2025-10-08 19:00:00,45.1,7.1,20.1,30.5,0,1
2025-10-08 20:00:00,30.4,28.2,26.0,62.1,0,1
2025-10-08 21:00:00,19.7,49.5,23.5,57.6,0,1
2025-10-08 22:00:00,35.1,42.2,21.5,52.1,0,1
2025-10-08 23:00:00,42.2,13.8,21.7,74.3,0,1
2025-10-09 00:00:00,29.2,29.6,20.5,55.9,0,1
2025-10-09 01:00:00,52.2,6.8,23.8,38.0,0,1
ms:1762554856401,47.4,53.3,19.3,58.3,0,0
2025-10-09 03:00:00,35.7,31.8,23.5,37.1,0,1
2025-10-09 04:00:00,47.1,33.3,21.2,77.9,0,1
2025-10-09 05:00:00,61.1,43.2,23.3,35.7,0,1
2025-10-09 06:00:00,31.9,45.3,22.9,54.5,0,1
2025-10-09 07:00:00,39.0,49.8,17.1,33.4,0,1
2025-10-09 08:00:00,26.5,17.7,24.5,51.9,0,1
2025-10-09 09:00:00,50.8,15.3,27.5,72.4,0,1
2025-10-09 10:00:00,31.1,12.1,24.3,77.8,0,1
ms:1762587256401,24.3,23.3,22.8,49.2,0,0
2025-10-09 12:00:00,43.0,50.9,19.4,35.8,0,1
2025-10-09 13:00:00,58.6,61.4,19.9,55.8,0,1
2025-10-09 14:00:00,39.9,30.0,28.5,57.2,0,1
2025-10-09 15:00:00,40.4,30.1,23.1,57.0,0,1
2025-10-09 16:00:00,40.3,50.5,20.5,76.6,0,1
2025-10-09 17:00:00,70.8,26.3,22.8,74.2,0,1
2025-10-09 18:00:00,45.0,59.3,27.2,47.1,0,1
2025-10-09 19:00:00,35.0,45.5,18.0,49.2,0,1
2025-10-09 20:00:00,34.4,38.2,19.2,45.0,0,1
2025-10-09 21:00:00,52.6,42.8,20.4,61.2,0,1
2025-10-09 22:00:00,40.4,5.1,14.8,47.0,1,1
2025-10-09 23:00:00,41.9,37.1,22.9,62.0,0,1
2025-10-10 00:00:00,37.6,0.4,28.6,37.7,0,1
2025-10-10 01:00:00,44.8,32.0,16.9,17.6,0,1
2025-10-10 02:00:00,20.9,53.4,20.7,44.0,0,1
2025-10-10 03:00:00,31.5,28.2,27.2,46.3,0,1
2025-10-10 04:00:00,17.5,63.2,21.0,47.0,0,1
2025-10-10 05:00:00,23.8,24.1,19.6,62.3,1,1
2025-10-10 06:00:00,50.6,41.3,22.6,53.7,0,1
2025-10-10 07:00:00,36.4,28.6,24.1,52.8,0,1
2025-10-10 08:00:00,32.8,18.9,21.0,42.5,0,1
2025-10-10 09:00:00,56.7,50.4,24.3,56.8,0,1
2025-10-10 10:00:00,37.2,22.8,22.6,31.0,0,1
2025-10-10 11:00:00,21.4,42.9,24.5,76.1,0,1
2025-10-10 12:00:00,39.8,29.7,20.2,55.5,0,1
2025-10-10 13:00:00,13.1,62.3,21.4,50.3,0,1
2025-10-10 14:00:00,43.7,9.2,19.6,59.4,0,1
2025-10-10 15:00:00,55.2,10.2,23.7,66.9,0,1
2025-10-10 16:00:00,33.6,12.0,19.8,54.8,0,1
2025-10-10 17:00:00,36.9,44.9,24.5,45.4,0,1
2025-10-10 18:00:00,19.4,36.8,20.1,69.6,0,1
2025-10-10 19:00:00,34.1,0.0,24.1,50.0,0,1
2025-10-10 20:00:00,42.6,23.0,24.6,50.9,0,1
2025-10-10 21:00:00,41.1,48.9,21.6,54.1,0,1
2025-10-10 22:00:00,55.6,10.5,29.3,59.1,0,1
2025-10-10 23:00:00,36.4,51.6,25.8,63.9,0,1
2025-10-11 00:00:00,49.6,10.0,26.5,64.3,0,1
2025-10-11 01:00:00,25.4,25.3,19.9,60.3,0,1
2025-10-11 02:00:00,22.4,60.0,19.1,56.1,0,1
2025-10-11 03:00:00,39.2,10.3,17.3,59.1,0,1
2025-10-11 04:00:00,18.8,21.5,21.9,48.3,0,1
2025-10-11 05:00:00,43.7,60.9,22.1,47.1,0,1
2025-10-11 06:00:00,49.2,13.6,23.5,68.5,0,1
2025-10-11 07:00:00,24.6,33.5,26.6,51.3,0,1
2025-10-11 08:00:00,45.4,25.8,32.6,75.8,0,1
2025-10-11 09:00:00,38.1,67.2,23.9,64.0,0,1
2025-10-11 10:00:00,37.5,23.8,21.5,66.1,0,1
2025-10-11 11:00:00,61.3,19.0,22.8,65.1,0,1
2025-10-11 12:00:00,35.1,39.1,25.3,46.5,0,1
2025-10-11 13:00:00,50.0,0.0,18.9,62.2,0,1
2025-10-11 14:00:00,49.5,0.0,23.7,60.6,0,1
2025-10-11 15:00:00,47.3,43.3,20.3,68.7,0,1
2025-10-11 16:00:00,56.0,48.4,20.9,63.5,0,1
2025-10-11 17:00:00,55.3,28.1,27.0,54.3,0,1
2025-10-11 18:00:00,46.5,46.0,23.5,61.4,0,1
ms:1762788856401,37.5,15.2,18.3,63.5,0,0
2025-10-11 20:00:00,23.1,24.5,20.5,49.1,0,1
2025-10-11 21:00:00,10.2,53.3,25.2,69.4,0,1
2025-10-11 22:00:00,42.2,18.2,19.3,64.6,0,1
2025-10-11 23:00:00,37.2,32.8,16.1,58.8,0,1
2025-10-12 00:00:00,28.0,14.8,19.9,55.6,0,1
2025-10-12 01:00:00,21.2,61.3,22.2,44.0,0,1
ms:1762814056401,32.2,15.0,18.7,64.0,0,0
2025-10-12 03:00:00,61.5,14.2,21.2,62.9,0,1
ms:1762821256401,32.4,52.6,19.0,64.4,0,0
2025-10-12 05:00:00,36.1,9.7,18.8,42.1,0,1
2025-10-12 06:00:00,43.6,19.5,23.1,59.4,0,1
2025-10-12 07:00:00,25.3,4.2,19.0,59.9,0,1
2025-10-12 08:00:00,51.2,49.9,18.1,58.5,0,1
2025-10-12 09:00:00,45.6,17.7,17.4,69.6,0,1
2025-10-12 10:00:00,37.9,37.0,24.8,46.3,0,1
ms:1762846456401,31.0,36.5,20.0,71.0,0,0
2025-10-12 12:00:00,35.9,60.7,18.6,63.0,0,1
2025-10-12 13:00:00,39.9,50.2,22.5,39.2,0,1
2025-10-12 14:00:00,34.2,53.8,26.4,42.1,0,1
2025-10-12 15:00:00,26.1,68.7,17.9,48.4,0,1
ms:1762864456401,40.3,23.8,20.5,59.4,0,0
2025-10-12 17:00:00,49.8,30.7,16.5,30.3,0,1
2025-10-12 18:00:00,8.0,38.3,23.8,56.7,0,1
2025-10-12 19:00:00,27.0,51.5,19.8,66.3,0,1
2025-10-12 20:00:00,52.4,33.6,20.7,59.6,0,1
2025-10-12 21:00:00,35.6,32.0,22.6,43.0,0,1
2025-10-12 22:00:00,36.2,64.7,23.6,57.3,0,1
2025-10-12 23:00:00,32.9,3.1,21.1,44.2,0,1
2025-10-13 00:00:00,36.3,46.6,23.6,76.6,0,1
ms:1762896856401,45.5,22.3,24.7,66.2,0,0
2025-10-13 02:00:00,27.0,60.5,25.9,68.0,0,1
2025-10-13 03:00:00,56.0,10.2,21.1,57.8,0,1
2025-10-13 04:00:00,33.8,27.9,23.9,62.6,0,1
2025-10-13 05:00:00,44.5,42.7,21.5,61.3,0,1
2025-10-13 06:00:00,28.9,65.4,16.3,62.5,0,1
2025-10-13 07:00:00,41.3,51.6,18.0,67.7,0,1
2025-10-13 08:00:00,40.3,18.5,22.4,64.1,0,1
2025-10-13 09:00:00,43.6,66.9,20.3,58.4,0,1
2025-10-13 10:00:00,35.9,27.8,20.3,63.8,0,1
2025-10-13 11:00:00,38.8,16.6,17.8,38.9,0,1
2025-10-13 12:00:00,19.9,22.9,26.7,52.4,0,1
2025-10-13 13:00:00,61.0,17.9,22.1,55.1,0,1
2025-10-13 14:00:00,42.8,30.8,24.4,51.3,0,1
2025-10-13 15:00:00,37.2,21.9,21.8,69.6,0,1
2025-10-13 16:00:00,29.3,0.9,20.0,69.3,0,1
2025-10-13 17:00:00,40.5,52.1,21.8,55.0,0,1
2025-10-13 18:00:00,43.7,14.8,23.3,25.6,0,1
2025-10-13 19:00:00,39.4,32.7,22.7,56.6,0,1
2025-10-13 20:00:00,41.3,50.0,20.8,64.1,0,1
2025-10-13 21:00:00,20.8,3.6,20.5,57.4,0,1
2025-10-13 22:00:00,40.2,28.1,22.0,54.6,0,1
2025-10-13 23:00:00,46.4,25.8,22.2,84.6,0,1
2025-10-14 00:00:00,60.8,36.7,18.4,52.7,0,1
2025-10-14 01:00:00,41.8,38.5,21.2,59.2,0,1
2025-10-14 02:00:00,36.2,52.8,19.9,54.4,0,1
2025-10-14 03:00:00,33.9,54.0,27.4,64.2,0,1
2025-10-14 04:00:00,30.2,18.9,25.5,53.6,0,1
2025-10-14 05:00:00,24.5,32.2,31.2,73.3,0,1
2025-10-14 06:00:00,56.5,36.3,20.3,50.0,0,1
2025-10-14 07:00:00,45.2,12.3,19.1,57.1,0,1
2025-10-14 08:00:00,27.5,52.7,23.4,53.4,0,1
2025-10-14 09:00:00,44.7,30.5,24.3,72.0,0,1
2025-10-14 10:00:00,40.0,18.6,18.6,47.1,0,1
2025-10-14 11:00:00,48.7,47.8,17.4,59.9,0,1
2025-10-14 12:00:00,54.9,21.3,22.4,66.8,0,1
2025-10-14 13:00:00,33.0,41.3,18.4,45.7,0,1
2025-10-14 14:00:00,29.8,35.5,22.0,61.6,0,1
2025-10-14 15:00:00,32.4,33.0,19.2,45.4,0,1
2025-10-14 16:00:00,47.6,27.2,25.7,76.2,0,1
2025-10-14 17:00:00,42.3,36.3,25.1,59.9,0,1
2025-10-14 18:00:00,58.2,36.7,19.7,54.0,0,1
2025-10-14 19:00:00,28.1,16.8,24.4,61.3,0,1
2025-10-14 20:00:00,31.0,22.0,18.6,46.5,0,1
2025-10-14 21:00:00,37.8,36.7,20.1,56.0,0,1
2025-10-14 22:00:00,28.4,0.0,24.9,47.7,0,1
2025-10-14 23:00:00,64.1,19.7,19.9,38.5,0,1
2025-10-15 00:00:00,42.8,36.2,20.3,66.2,0,1
2025-10-15 01:00:00,33.9,56.4,17.6,49.5,1,1
2025-10-15 02:00:00,35.9,26.1,24.0,51.6,0,1
2025-10-15 03:00:00,60.1,4.1,24.7,63.9,0,1
2025-10-15 04:00:00,43.3,34.7,22.2,43.8,0,1
2025-10-15 05:00:00,33.5,29.7,17.2,64.0,0,1
ms:1763087656401,23.3,0.0,20.9,37.2,0,0
2025-10-15 07:00:00,58.8,38.1,19.5,55.6,0,1
2025-10-15 08:00:00,33.5,36.1,19.6,66.1,0,1
2025-10-15 09:00:00,17.9,34.1,24.5,61.9,0,1
ms:1763102056401,64.4,46.8,16.9,51.6,0,0
2025-10-15 11:00:00,38.2,37.5,19.5,61.6,0,1
2025-10-15 12:00:00,41.2,14.9,20.1,51.9,0,1
2025-10-15 13:00:00,47.5,50.0,22.3,56.0,0,1
2025-10-15 14:00:00,29.8,4.8,19.0,35.7,0,1
2025-10-15 15:00:00,41.8,18.1,22.6,66.2,0,1
2025-10-15 16:00:00,19.5,53.2,19.7,64.1,1,1
2025-10-15 17:00:00,49.9,9.8,18.5,28.6,0,1
2025-10-15 18:00:00,44.4,26.2,24.4,44.0,0,1
2025-10-15 19:00:00,35.6,52.5,19.2,49.8,0,1
2025-10-15 20:00:00,14.9,47.6,26.3,47.3,0,1
2025-10-15 21:00:00,34.2,38.1,22.6,40.2,0,1
2025-10-15 22:00:00,42.2,40.6,15.7,72.4,0,1
2025-10-15 23:00:00,61.6,55.5,22.7,66.2,0,1
2025-10-16 00:00:00,48.6,46.8,17.9,57.1,0,1
2025-10-16 01:00:00,35.8,31.4,22.0,51.0,0,1
2025-10-16 02:00:00,31.9,26.2,17.0,39.6,0,1
2025-10-16 03:00:00,46.5,4.4,21.8,38.7,0,1
2025-10-16 04:00:00,37.6,16.4,18.5,73.1,0,1
2025-10-16 05:00:00,48.2,13.9,24.0,59.5,0,1
2025-10-16 06:00:00,27.0,10.8,19.6,60.5,0,1
2025-10-16 07:00:00,45.1,0.0,22.6,51.9,0,1
2025-10-16 08:00:00,61.6,16.6,14.9,55.8,0,1
2025-10-16 09:00:00,28.9,21.5,19.3,46.9,0,1
ms:1763188456401,40.1,62.0,20.7,78.8,0,0
2025-10-16 11:00:00,43.3,20.5,20.1,48.0,0,1
2025-10-16 12:00:00,50.8,43.3,19.9,23.8,0,1
2025-10-16 13:00:00,53.4,25.1,25.1,61.4,0,1
2025-10-16 14:00:00,43.1,32.7,17.6,45.7,0,1
2025-10-16 15:00:00,47.5,3.7,21.9,46.9,0,1
ms:1763210056401,45.7,52.2,20.3,46.2,0,0
2025-10-16 17:00:00,36.4,43.4,23.0,55.8,0,1
2025-10-16 18:00:00,31.9,33.7,22.7,47.9,0,1
2025-10-16 19:00:00,38.6,33.7,22.1,67.4,0,1
2025-10-16 20:00:00,44.7,25.1,18.0,60.5,0,1
2025-10-16 21:00:00,61.7,27.5,22.2,67.3,0,1
2025-10-16 22:00:00,29.4,59.3,23.0,64.2,0,1
2025-10-16 23:00:00,23.1,25.6,17.9,45.6,0,1
2025-10-17 00:00:00,26.9,28.7,16.6,43.4,0,1
2025-10-17 01:00:00,19.1,61.8,18.0,34.8,0,1
2025-10-17 02:00:00,49.2,11.7,27.9,43.0,0,1
2025-10-17 03:00:00,24.5,32.2,15.8,45.2,0,1
2025-10-17 04:00:00,42.6,49.1,26.9,58.3,0,1
ms:1763256856401,36.5,34.0,23.3,38.1,0,0
ms:1763260456401,42.9,56.3,20.1,46.4,0,0
2025-10-17 07:00:00,40.2,12.2,22.6,45.0,0,1
2025-10-17 08:00:00,45.8,66.4,22.3,65.0,0,1
2025-10-17 09:00:00,25.0,17.7,17.2,71.4,0,1
2025-10-17 10:00:00,46.2,5.3,22.0,34.9,0,1
2025-10-17 11:00:00,38.8,28.9,24.5,61.6,0,1
2025-10-17 12:00:00,37.1,30.7,22.5,54.3,0,1
2025-10-17 13:00:00,30.9,23.1,20.3,53.6,0,1
2025-10-17 14:00:00,40.4,23.2,15.8,49.1,0,1
2025-10-17 15:00:00,34.0,8.4,23.0,39.0,0,1
2025-10-17 16:00:00,51.7,46.0,16.7,68.3,0,1
ms:1763300056401,49.9,54.4,21.3,63.1,0,0
2025-10-17 18:00:00,59.4,51.0,25.1,54.0,0,1
2025-10-17 19:00:00,39.0,50.9,19.4,67.9,0,1
2025-10-17 20:00:00,45.5,53.7,17.6,63.7,0,1
2025-10-17 21:00:00,41.2,35.4,27.2,54.3,0,1
2025-10-17 22:00:00,48.0,43.5,21.9,46.5,0,1
2025-10-17 23:00:00,42.0,38.2,26.2,51.5,1,1
ms:1763325256401,37.7,19.9,22.3,78.4,0,0
2025-10-18 01:00:00,49.8,40.3,20.5,49.6,0,1
2025-10-18 02:00:00,29.6,36.1,24.2,31.1,0,1
2025-10-18 03:00:00,55.0,27.2,22.1,53.4,0,1
2025-10-18 04:00:00,50.5,13.7,21.0,59.8,0,1
2025-10-18 05:00:00,44.6,28.8,21.5,68.6,0,1
2025-10-18 06:00:00,25.5,28.0,21.4,13.8,0,1
2025-10-18 07:00:00,58.8,32.1,21.8,71.9,0,1
2025-10-18 08:00:00,40.8,22.1,14.1,38.6,0,1
2025-10-18 09:00:00,48.6,42.0,21.1,40.9,0,1
2025-10-18 10:00:00,30.4,35.4,23.8,67.0,0,1
2025-10-18 11:00:00,37.0,60.7,22.3,63.1,0,1
2025-10-18 12:00:00,36.7,4.3,24.8,49.7,0,1
2025-10-18 13:00:00,62.4,47.6,19.6,59.8,0,1
2025-10-18 14:00:00,38.6,21.7,24.4,32.8,0,1
2025-10-18 15:00:00,45.4,14.0,31.2,47.0,0,1
2025-10-18 16:00:00,35.7,24.6,19.8,52.6,0,1
